Loadlevel,Pdg,DG Position,PLoss
0.300000,1557.407407,3, 124.384951
0.300000,1611.111111,3, 133.154757
0.300000,1664.814815,3, 142.187742
0.300000,1718.518519,3, 151.480732
0.300000,1772.222222,3, 161.030617
0.300000,1825.925926,3, 170.834351
0.300000,1879.629630,3, 180.888951
0.300000,1933.333333,3, 191.191492
0.300000,1987.037037,3, 201.739110
0.300000,2040.740741,3, 212.528996
0.300000,2094.444444,3, 223.558397
0.300000,2148.148148,3, 234.824615
0.300000,53.703704,4, 0.808001
0.300000,107.407407,4, 0.556541
0.300000,161.111111,4, 0.974599
0.300000,214.814815,4, 2.043979
0.300000,268.518519,4, 3.747316
0.300000,322.222222,4, 6.068023
0.300000,375.925926,4, 8.990244
0.300000,429.629630,4, 12.498810
0.300000,483.333333,4, 16.579197
0.300000,537.037037,4, 21.217488
0.300000,590.740741,4, 26.400340
0.300000,644.444444,4, 32.114948
0.300000,698.148148,4, 38.349017
0.300000,751.851852,4, 45.090735
0.300000,805.555556,4, 52.328743
0.300000,859.259259,4, 60.052115
0.300000,912.962963,4, 68.250334
0.300000,966.666667,4, 76.913269
0.300000,1020.370370,4, 86.031158
0.300000,1074.074074,4, 95.594586
0.300000,1127.777778,4, 105.594472
0.300000,1181.481481,4, 116.022050
0.300000,1235.185185,4, 126.868855
0.300000,1288.888889,4, 138.126707
0.300000,1342.592593,4, 149.787700
0.300000,1396.296296,4, 161.844186
0.300000,1450.000000,4, 174.288769
0.300000,1503.703704,4, 187.114287
0.300000,1557.407407,4, 200.313806
0.300000,1611.111111,4, 213.880607
0.300000,1664.814815,4, 227.808181
0.300000,1718.518519,4, 242.090215
0.300000,1772.222222,4, 256.720586
0.300000,1825.925926,4, 271.693355
0.300000,1879.629630,4, 287.002755
0.300000,1933.333333,4, 302.643188
0.300000,1987.037037,4, 318.609217
0.300000,2040.740741,4, 334.895558
0.300000,2094.444444,4, 351.497075
0.300000,2148.148148,4, 368.408776
0.300000,53.703704,5, 0.718850
0.300000,107.407407,5, 0.478762
0.300000,161.111111,5, 1.002839
0.300000,214.814815,5, 2.267442
0.300000,268.518519,5, 4.250156
0.300000,322.222222,5, 6.929706
0.300000,375.925926,5, 10.285877
0.300000,429.629630,5, 14.299440
0.300000,483.333333,5, 18.952085
0.300000,537.037037,5, 24.226364
0.300000,590.740741,5, 30.105630
0.300000,644.444444,5, 36.573992
0.300000,698.148148,5, 43.616263
0.300000,751.851852,5, 51.217918
0.300000,805.555556,5, 59.365056
0.300000,859.259259,5, 68.044361
0.300000,912.962963,5, 77.243070
0.300000,966.666667,5, 86.948940
0.300000,1020.370370,5, 97.150216
0.300000,1074.074074,5, 107.835610
0.300000,1127.777778,5, 118.994271
0.300000,1181.481481,5, 130.615762
0.300000,1235.185185,5, 142.690041
0.300000,1288.888889,5, 155.207436
0.300000,1342.592593,5, 168.158630
0.300000,1396.296296,5, 181.534640
0.300000,1450.000000,5, 195.326802
0.300000,1503.703704,5, 209.526757
0.300000,1557.407407,5, 224.126431
0.300000,1611.111111,5, 239.118027
0.300000,1664.814815,5, 254.494009
0.300000,1718.518519,5, 270.247089
0.300000,1772.222222,5, 286.370219
0.300000,1825.925926,5, 302.856576
0.300000,1879.629630,5, 319.699557
0.300000,1933.333333,5, 336.892764
0.300000,1987.037037,5, 354.429998
0.300000,2040.740741,5, 372.305251
0.300000,2094.444444,5, 390.512693
0.300000,2148.148148,5, 409.046674
0.300000,53.703704,6, 0.646484
0.300000,107.407407,6, 0.426024
0.300000,161.111111,6, 1.055676
0.300000,214.814815,6, 2.506252
0.300000,268.518519,6, 4.750245
0.300000,322.222222,6, 7.761687
0.300000,375.925926,6, 11.516039
0.300000,429.629630,6, 15.990077
0.300000,483.333333,6, 21.161801
0.300000,537.037037,6, 27.010339
0.300000,590.740741,6, 33.515875
